fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2025-09-01 00:00:00,4 Esquinas (GPRS),,,-1.71,86.9,0.0,
2025-09-01 00:00:00,Aguadas (GPRS),,,-0.38,81.2,0.0,
2025-09-01 00:00:00,Aiquile (GPRS),6.0,0.98,9.7,71.67,0.0,953.0
2025-09-01 00:00:00,Alto Pe̱as (GPRS),3.0,2.62,2.77,44.89,0.0,629.6
2025-09-01 00:00:00,Anzaldo_M (GPRS),10.0,0.91,8.64,77.04,0.0,710.42
2025-09-01 00:00:00,Apolo_M (GPRS),1.0,11.1,17.04,82.2,0.0,852.91
2025-09-01 00:00:00,Bulo Bulo_M (GPRS),15.0,2.78,21.66,92.43,0.0,979.59
2025-09-01 00:00:00,Camargo_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Camargo_M (GPRS),2.0,3.37,14.19,17.51,0.0,763.13
2025-09-01 00:00:00,Caranavi_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Carura_M - Guanay (GPRS),10.0,1.99,22.41,92.44,0.0,951.94
2025-09-01 00:00:00,Chacala Iniaf (GPRS),,,-4.0,9.4,0.0,648.7
2025-09-01 00:00:00,Chua Cocani_M (GPRS),16.0,0.66,1.53,69.32,0.0,645.7
2025-09-01 00:00:00,Coroico_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Cota Cota Baja_M (GPRS),16.0,3.71,2.32,94.1,0.0,646.7
2025-09-01 00:00:00,Cotagaita_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Covendo_M (GPRS),2.0,1.73,22.29,98.13,0.0,952.34
2025-09-01 00:00:00,Cuatro Ca̱adas - CEA-2 (GPRS),16.0,4.14,27.47,67.58,0.0,982.0
2025-09-01 00:00:00,Desaguadero_M,16.0,1.38,1.62,25.55,0.0,647.8
2025-09-01 00:00:00,El Puente_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Guanay_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Guayaramerin_M (GPRS),14.0,0.65,23.37,99.97,0.0,996.3
2025-09-01 00:00:00,Huacata_M (GPRS),16.0,4.11,10.61,82.7,0.0,728.6
2025-09-01 00:00:00,Huancane Corapata_M (GPRS),16.0,2.11,2.65,65.38,0.0,641.5
2025-09-01 00:00:00,Huarisuyo (GPRS),2.0,3.73,-0.14,69.92,0.0,645.1
2025-09-01 00:00:00,Incapampa - Coroico_M (GPRS),10.0,3.75,16.0,99.85,0.0,816.57
2025-09-01 00:00:00,Isla Suriqui_M (GPRS),16.0,2.28,5.86,79.55,0.0,647.2
2025-09-01 00:00:00,Ixiamas S.(GPRS),10.0,2.82,21.8,96.2,0.0,978.7
2025-09-01 00:00:00,Ixiamas_M (GPRS),10.0,3.98,21.4,95.72,0.0,981.28
2025-09-01 00:00:00,Jes̼s de Machaca_M (GPRS),16.0,5.92,-5.66,44.49,0.0,646.2
2025-09-01 00:00:00,La Asunta_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Laguna Colorada (GPRS),11.0,1.3,-9.59,13.6,0.0,620.3
2025-09-01 00:00:00,Linkupata_M (GPRS),16.0,5.64,7.79,40.26,0.0,631.2
2025-09-01 00:00:00,Mecapaca_M (GPRS),8.0,4.8,12.43,81.23,0.0,728.37
2025-09-01 00:00:00,Mizque - SDC (GPRS),10.0,1.23,12.02,67.49,0.0,798.4
2025-09-01 00:00:00,Omereque - SDC (GPRS),4.0,4.32,22.41,49.9,0.0,835.0
2025-09-01 00:00:00,Palos Blancos_H (GPRS),,,,,0.0,
2025-09-01 00:00:00,Palos Blancos_M (GPRS),12.0,0.53,21.32,99.98,0.0,1310.71
2025-09-01 00:00:00,PampasAzurduy_EM (SAT),11.0,0.85,8.24,76.03,0.0,762.1
2025-09-01 00:00:00,Paniagua_M (GPRS),,,21.67,76.3,0.0,894.13
2025-09-01 00:00:00,Parotani - Sipe Sipe (GPRS),14.0,6.93,18.09,46.28,0.0,757.0
2025-09-01 00:00:00,Patacamaya I. (GPRS),,,-1.9,63.7,0.0,651.5
2025-09-01 00:00:00,Pico de loro_H- SDC (GPRS),,,,,0.0,
2025-09-01 00:00:00,Pocona - SDC (GPRS),1.0,4.43,14.12,68.8,0.0,500.9
