fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2025-08-01 00:00:00,4 Esquinas (GPRS),,,-1.17,86.2,0.0,
2025-08-01 00:00:00,Aguadas (GPRS),,,-0.41,83.5,0.0,
2025-08-01 00:00:00,Aiquile (GPRS),9.0,0.26,9.39,75.57,0.0,954.0
2025-08-01 00:00:00,Alto PeÃ±as (GPRS),2.0,2.52,1.82,33.53,0.0,630.3
2025-08-01 00:00:00,Chua Cocani_M (GPRS),16.0,1.17,0.3,70.1,0.0,646.7
2025-08-01 00:00:00,Cota Cota Baja_M (GPRS),16.0,0.88,-0.5,65.56,0.0,647.7
2025-08-01 00:00:00,Cuatro CaÃ±adas - CEA-2 (GPRS),16.0,3.9,22.67,85.1,0.0,984.0
2025-08-01 00:00:00,Desaguadero_M,16.0,1.87,1.82,46.16,0.0,648.8
2025-08-01 00:00:00,Huacata_M (GPRS),12.0,7.48,14.87,19.85,0.0,727.6
2025-08-01 00:00:00,Huancane Corapata_M (GPRS),16.0,3.99,1.4,52.72,0.0,642.2
2025-08-01 00:00:00,Huarisuyo (GPRS),1.0,4.25,-4.76,78.97,0.0,645.9
2025-08-01 00:00:00,Isla Suriqui_M (GPRS),16.0,0.59,4.16,47.81,0.0,648.2
2025-08-01 00:00:00,JesÃºs de Machaca_M (GPRS),16.0,1.51,-1.25,52.04,0.0,647.2
2025-08-01 00:00:00,Laguna Colorada (GPRS),13.0,8.77,-1.43,57.08,0.0,618.3
2025-08-01 00:00:00,Linkupata_M (GPRS),12.0,2.08,5.31,48.53,0.0,632.0
2025-08-01 00:00:00,Mizque - SDC (GPRS),12.0,0.55,10.75,66.75,0.0,798.7
2025-08-01 00:00:00,Omereque - SDC (GPRS),5.0,4.09,20.5,52.35,0.0,836.0
2025-08-01 00:00:00,Parotani - Sipe Sipe (GPRS),13.0,2.0,15.96,44.54,0.0,758.7
2025-08-01 00:00:00,Pocona - SDC (GPRS),16.0,7.42,13.85,67.95,0.0,501.0
2025-08-01 00:00:00,Pojo - SDC (GPRS),2.0,5.01,16.88,69.46,0.0,800.0
2025-08-01 00:00:00,Presa Misicuni (GPRS),7.0,3.12,2.9,84.2,0.0,651.0
2025-08-01 00:00:00,Puente Abra_H- SDC (GPRS),,,,,0.0,
2025-08-01 00:00:00,Puente Cajon_H- SDC (GPRS),,,,,0.0,
2025-08-01 00:00:00,Puente ChiÃ±ata_H- SDC (GPRS),,,,,0.0,
2025-08-01 00:00:00,Putucuni Calientes (GPRS),,,2.33,53.54,0.0,
2025-08-01 00:00:00,Quetenas (GPRS),15.0,5.72,-1.0,52.67,0.0,618.0
2025-08-01 00:00:00,RÃ­o Chilenas (GPRS),14.0,8.14,-3.07,55.92,0.0,597.9
2025-08-01 00:00:00,Sacacani_M (GPRS),16.0,3.97,4.45,36.56,0.0,641.1
2025-08-01 00:00:00,San Jacinto_M (GPRS),8.0,1.01,17.29,22.15,0.0,809.0
2025-08-01 00:00:00,San Julian - Comunidad Los Angeles (GPRS),15.0,1.45,24.34,73.78,0.0,987.0
2025-08-01 00:00:00,San Julian - Nucleo 32 (GPRS),15.0,2.89,24.2,78.62,0.0,990.0
2025-08-01 00:00:00,San Pablo de Lipez (GPRS),4.0,0.56,-6.76,63.8,0.0,628.6
2025-08-01 00:00:00,San Pedro - San Antonio (GPRS),2.0,1.66,21.14,91.4,0.0,991.0
