fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2024-03-01 00:00:00,4 Esquinas (GPRS),,,4.51,96.0,0.0,
2024-03-01 00:00:00,Aguadas (GPRS),,,4.8,95.2,0.0,
2024-03-01 00:00:00,Aiquile (GPRS),,,17.85,81.3,0.0,
2024-03-01 00:00:00,Alto PeÃ±as (GPRS),,,5.19,100.0,0.0,
2024-03-01 00:00:00,Chua Cocani_M (GPRS),,,7.1,78.99,0.0,
2024-03-01 00:00:00,Cochabamba,,,15.0,81.6,,
2024-03-01 00:00:00,Comarapa (GPRS),,,18.47,77.88,0.0,
2024-03-01 00:00:00,Cotagaita (GPRS),,,15.45,71.14,0.0,
2024-03-01 00:00:00,Cuatro CaÃ±adas - CEA-2 (GPRS),,,24.12,96.4,0.0,
2024-03-01 00:00:00,Cuatro CaÃ±adas - Colonia Chihuahua (GPRS),,,24.22,96.9,0.0,
2024-03-01 00:00:00,Desaguadero_M,,,7.95,86.9,0.0,
2024-03-01 00:00:00,El Alto,,,7.0,92.7,,
2024-03-01 00:00:00,Huacata_M (GPRS),,,12.95,92.5,0.0,
2024-03-01 00:00:00,Huancane Corapata_M (GPRS),,,6.31,96.4,0.0,
2024-03-01 00:00:00,Huarisuyo (GPRS),,,5.34,99.0,0.0,
2024-03-01 00:00:00,Isla Suriqui_M (GPRS),,,8.34,82.3,0.0,
2024-03-01 00:00:00,JesÃºs de Machaca_M (GPRS),,,7.25,96.7,0.0,
2024-03-01 00:00:00,Linkupata_M (GPRS),,,5.81,96.6,0.0,
2024-03-01 00:00:00,Mizque - SDC (GPRS),,,13.51,88.7,0.0,
2024-03-01 00:00:00,Pailon - Pozo del Tigre (GPRS),,,24.82,95.1,0.0,
2024-03-01 00:00:00,Parotani - Sipe Sipe (GPRS),,,16.14,82.5,0.0,
2024-03-01 00:00:00,Pocona - SDC (GPRS),,,11.43,88.2,0.0,
2024-03-01 00:00:00,Pojo - SDC (GPRS),,,15.07,84.2,0.0,
2024-03-01 00:00:00,Potolo_M (GPRS),,,0.0,0.0,0.0,
2024-03-01 00:00:00,Presa Misicuni (GPRS),,,5.97,95.4,0.0,
2024-03-01 00:00:00,Presa Yana Khakha_M (GPRS),,,11.85,70.47,0.0,
2024-03-01 00:00:00,Puente Abra_H- SDC (GPRS),,,,,0.0,
2024-03-01 00:00:00,Puente Cajon_H- SDC (GPRS),,,,,0.0,
2024-03-01 00:00:00,Puerto Villarroel (GPRS)_M,,,24.83,90.0,0.0,
2024-03-01 00:00:00,Putucuni Calientes (GPRS),,,3.1,95.6,0.0,
2024-03-01 00:00:00,Quila Quila_M (GPRS),,,12.82,85.8,0.0,
2024-03-01 00:00:00,Sacacani_M (GPRS),,,6.69,94.7,0.0,
2024-03-01 00:00:00,San Jacinto_M (GPRS),,,17.57,88.4,0.0,
2024-03-01 00:00:00,San Julian - Comunidad Los Angeles (GPRS),,,24.37,96.1,0.0,
2024-03-01 00:00:00,San Julian - Nucleo 32 (GPRS),,,24.11,98.8,0.0,
2024-03-01 00:00:00,San Pedro - RÃ­o Victoria (GPRS),,,23.09,94.5,0.0,
2024-03-01 00:00:00,San Pedro - San Antonio (GPRS),,,23.35,95.5,0.0,
2024-03-01 00:00:00,San Pedro de Buena Vista (GPRS),,,12.56,88.7,0.0,
2024-03-01 00:00:00,San Pedro de Tiquina_M (GPRS),,,9.59,63.26,0.0,
2024-03-01 00:00:00,San Roque - El Alto (GPRS),,,7.0,92.7,0.0,
2024-03-01 00:00:00,Sena_H (GPRS),,,,,0.0,
2024-03-01 00:00:00,Sunjani (GPRS),,,4.84,96.4,0.0,
2024-03-01 00:00:00,Tacagua_M (GPRS),,,10.63,68.39,0.0,
2024-03-01 00:00:00,Templo (GPRS),,,2.47,97.7,0.0,
2024-03-01 00:00:00,Temporal - SDC (GPRS),,,12.64,0.03,0.0,
2024-03-01 00:00:00,Tiraque_M (GPRS),,,8.77,83.4,0.0,
2024-03-01 00:00:00,Toledo (GPRS),,,8.96,76.23,0.0,
2024-03-01 00:00:00,Toma Ravelo_M (GPRS),,,10.16,95.4,0.0,
2024-03-01 00:00:00,Viacha_M (GPRS),,,7.06,93.2,0.0,
2024-03-01 00:00:00,Vila Vila - SDC (GPRS),,,13.69,85.6,0.0,
2024-03-01 00:00:00,Villa Charcas (GPRS),,,12.24,90.7,0.0,
2024-03-01 00:00:00,Villa Serrano (GPRS),,,14.91,100.0,0.0,
2024-03-01 00:00:00,Viru Viru,,,25.0,93.3,,
2024-03-01 00:00:00,Viscachas Chirage (GPRS),,,4.68,95.8,0.0,
2024-03-01 00:00:00,Vivero Chimboco - SDC (GPRS),,,13.18,87.8,0.0,
2024-03-01 00:00:00,Vivero Viloma - SDC (GPRS),,,14.4,90.6,0.0,
2024-03-01 00:05:00,Presa Misicuni (GPRS),,,5.78,94.9,0.0,
2024-03-01 00:10:00,4 Esquinas (GPRS),,,4.3,96.1,0.0,
2024-03-01 00:10:00,Aguadas (GPRS),,,4.68,95.1,0.0,
2024-03-01 00:10:00,Presa Misicuni (GPRS),,,5.68,94.8,0.0,
2024-03-01 00:10:00,Putucuni Calientes (GPRS),,,3.25,95.3,0.0,
2024-03-01 00:10:00,Sunjani (GPRS),,,4.53,96.3,0.0,
2024-03-01 00:10:00,Templo (GPRS),,,2.18,97.5,0.0,
2024-03-01 00:10:00,Viscachas Chirage (GPRS),,,4.55,95.9,0.0,
