fecha,estacion,viento_direccion,viento_velocidad,temperatura,humedad_relativa,precipitacion,presion
2026-02-01 00:00:00,4 Esquinas (GPRS),,,5.54,87.2,0.0,
2026-02-01 00:00:00,Aguadas (GPRS),,,5.67,87.8,0.0,
2026-02-01 00:00:00,Aiquile (GPRS),12.0,0.67,17.13,86.9,0.0,949.0
2026-02-01 00:00:00,Alto PeÃ±as (GPRS),1.0,1.78,6.81,81.1,0.0,629.1
2026-02-01 00:00:00,Anzaldo_M (GPRS),9.0,1.6,12.37,89.19,0.0,709.07
2026-02-01 00:00:00,Apolo_M (GPRS),0.0,11.59,19.17,95.63,0.0,850.71
2026-02-01 00:00:00,Camargo_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Camargo_M (GPRS),11.0,7.22,18.12,68.25,0.0,762.05
2026-02-01 00:00:00,Caranavi_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Carura_M - Guanay (GPRS),3.0,1.79,22.53,97.97,0.0,947.88
2026-02-01 00:00:00,Chua Cocani_M (GPRS),16.0,1.11,5.6,92.2,0.0,645.5
2026-02-01 00:00:00,Coroico_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Cota Cota Baja_M (GPRS),16.0,2.96,5.32,92.8,0.0,646.1
2026-02-01 00:00:00,Cotagaita (GPRS),1.0,0.51,14.21,86.8,0.0,742.91
2026-02-01 00:00:00,Cotagaita_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Covendo_M (GPRS),5.0,1.61,23.48,99.85,0.0,948.31
2026-02-01 00:00:00,Cuatro CaÃ±adas - CEA-2 (GPRS),15.0,4.31,26.76,88.5,0.0,979.0
2026-02-01 00:00:00,Cuatro CaÃ±adas - Colonia Chihuahua (GPRS),2.0,1.83,27.42,83.5,0.0,980.0
2026-02-01 00:00:00,Desaguadero_M,16.0,2.37,8.35,85.6,0.0,647.5
2026-02-01 00:00:00,El Puente_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Guanay_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Guayaramerin_M (GPRS),1.0,5.78,25.32,100.0,0.0,995.33
2026-02-01 00:00:00,Huacata_M (GPRS),1.0,1.12,14.27,92.9,0.0,727.4
2026-02-01 00:00:00,Huancane Corapata_M (GPRS),16.0,2.76,5.48,91.8,0.0,641.0
2026-02-01 00:00:00,Huarisuyo (GPRS),11.0,1.37,5.16,93.8,0.0,644.9
2026-02-01 00:00:00,Isla Suriqui_M (GPRS),16.0,0.47,8.16,85.6,0.0,646.9
2026-02-01 00:00:00,Ixiamas_M (GPRS),12.0,2.64,24.84,95.95,0.0,980.18
2026-02-01 00:00:00,JesÃºs de Machaca_M (GPRS),16.0,3.01,6.77,91.3,0.0,646.0
2026-02-01 00:00:00,La Asunta_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Laguna Colorada (GPRS),13.0,8.73,5.26,42.33,0.0,621.2
2026-02-01 00:00:00,Linkupata_M (GPRS),1.0,5.44,9.77,61.07,0.0,630.6
2026-02-01 00:00:00,Mecapaca_M (GPRS),1.0,3.83,13.12,92.01,0.0,726.48
2026-02-01 00:00:00,Mizque - SDC (GPRS),10.0,1.24,17.65,84.0,0.0,796.3
2026-02-01 00:00:00,Omereque - SDC (GPRS),11.0,1.93,26.06,51.4,0.0,834.0
2026-02-01 00:00:00,Palos Blancos_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Palos Blancos_M (GPRS),2.0,1.03,23.16,99.98,0.0,1310.71
2026-02-01 00:00:00,Paniagua_M (GPRS),14.0,11.24,22.71,90.67,0.0,891.38
2026-02-01 00:00:00,Parotani - Sipe Sipe (GPRS),11.0,1.22,15.55,85.6,0.0,755.2
2026-02-01 00:00:00,Pico de loro_H- SDC (GPRS),,,,,0.0,
2026-02-01 00:00:00,Pocona - SDC (GPRS),16.0,3.57,17.26,73.43,0.0,501.0
2026-02-01 00:00:00,Pojo - SDC (GPRS),12.0,1.73,18.36,82.3,0.0,798.4
2026-02-01 00:00:00,Presa Misicuni (GPRS),9.0,1.04,9.14,82.3,0.0,649.13
2026-02-01 00:00:00,Puente Abra_H- SDC (GPRS),,,,,0.0,
2026-02-01 00:00:00,Puente Cajon_H- SDC (GPRS),,,,,0.0,
2026-02-01 00:00:00,Puerto Villarroel_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,Putucuni Calientes (GPRS),,,4.81,85.9,0.0,
2026-02-01 00:00:00,Quetenas (GPRS),7.0,6.87,5.31,44.36,0.0,618.9
2026-02-01 00:00:00,Rurrenabaque_H (GPRS),,,,,0.0,
2026-02-01 00:00:00,RÃ­o Chilenas (GPRS),10.0,2.08,2.66,56.87,0.0,598.9
2026-02-01 00:00:00,Sacacani_M (GPRS),16.0,1.85,5.32,89.3,0.0,640.0
2026-02-01 00:00:00,Salo_M (GPRS),1.0,8.23,8.93,95.94,0.0,690.13
