fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
2023-01-01,4 Esquinas (GPRS),15.79,6.4,,,
2023-01-01,Abapo,38.0,21.0,,,
2023-01-01,Acasio,25.1,4.2,,,
2023-01-01,Achiri,,,,,3.0
2023-01-01,Aeropueto Copacabana_M (GPRS),,,,,6.6
2023-01-01,Aguadas (GPRS),18.92,5.89,91.0,38.64,
2023-01-01,Aguaraycito,41.0,21.0,,,
2023-01-01,Aiquile (GPRS),39.08,14.62,62.07,62.07,
2023-01-01,Alcantarí_Aeropuerto,22.8,10.4,,,
2023-01-01,Alto Peñas (GPRS),14.83,2.44,99.4,51.89,
2023-01-01,Anzaldo,,,,,6.7
2023-01-01,Arani,30.0,,,,2.1
2023-01-01,Aroma (GPRS),21.42,10.65,69.12,23.31,
2023-01-01,Ayo Ayo,21.5,4.5,,,
2023-01-01,Ayoma,25.2,7.2,,,2.4
2023-01-01,Azurduy,22.0,9.0,89.0,77.0,4.2
2023-01-01,Cabaña Forestal Oruro,,,,,15.4
2023-01-01,Caiza D,27.0,9.0,,,
2023-01-01,Calacoto,22.5,5.0,,,4.8
2023-01-01,Camata,28.0,16.0,,,
2023-01-01,Camiri,33.0,33.0,38.2,38.2,
2023-01-01,Camiri Aeropuerto,38.5,21.3,,,
2023-01-01,Campanario,24.5,1.5,,,
2023-01-01,Capinota,27.5,13.0,,,
2023-01-01,Carabuco,,4.5,,,1.7
2023-01-01,Caranavi,30.0,20.5,,,22.0
2023-01-01,Catacora,15.5,5.0,,,10.4
2023-01-01,Cayarani,,,,,0.8
2023-01-01,Cañas,31.0,15.5,,,1.4
2023-01-01,Challapata Aut,,,,,17.8
2023-01-01,Chaqui,20.2,6.0,,,
2023-01-01,Chimore Aeropuerto,34.5,,,,
2023-01-01,Chinoli,21.1,7.2,,,
2023-01-01,Chua Cocani_M (GPRS),14.99,4.14,96.4,51.94,5.0
2023-01-01,Chuqui Chuqui,37.0,20.0,,,
2023-01-01,Chuquiago,28.0,8.2,,,45.5
2023-01-01,Circuata,,,,,3.6
2023-01-01,Ckochas,22.1,7.5,,,
2023-01-01,Cobija Aeropuerto,30.8,21.8,,,
2023-01-01,Cochabamba,24.0,24.0,33.4,33.4,
2023-01-01,Cochabamba Aeropuerto,32.2,16.0,,,1.3
2023-01-01,Coimata,31.0,13.0,64.0,32.0,
