fecha,estacion,temperatura_maxima,temperatura_minima,humedad_relativa_maxima,humedad_relativa_minima,precipitacion
2026-01-01, Paniagua_M (GPRS),28.15,19.06,99.78,91.48,29.9
2026-01-01,4 Esquinas (GPRS),7.79,3.39,77.3,66.14,
2026-01-01,Aguadas (GPRS),7.64,3.59,81.6,60.48,1.6
2026-01-01,Aiquile (GPRS),15.39,14.71,91.5,51.72,
2026-01-01,Alto Peñas (GPRS),5.97,5.35,96.9,67.46,
2026-01-01,Anzaldo_M (GPRS),19.86,8.6,65.12,48.49,
2026-01-01,Apolo_M (GPRS),27.42,17.47,95.34,50.09,
2026-01-01,Cabaña Forestal Oruro,17.0,4.7,76.0,68.0,3.0
2026-01-01,Camargo_M (GPRS),27.18,13.05,60.05,32.36,
2026-01-01,Caranavi_H (GPRS),,,,,0.1
2026-01-01,Carura_M - Guanay (GPRS),29.05,21.49,98.43,94.13,0.4
2026-01-01,Chacala Iniaf (GPRS),19.4,6.7,59.1,36.3,
2026-01-01,Chipaya - GPRS,23.9,6.0,52.0,14.0,
2026-01-01,Chua Cocani_M (GPRS),8.22,6.53,85.8,71.0,
2026-01-01,Concepcion,,,,,2.2
2026-01-01,Coroico_H (GPRS),,,,,0.3
2026-01-01,Cotagaita (GPRS),15.21,13.25,71.9,49.92,
2026-01-01,Covendo_M (GPRS),31.63,21.75,99.88,95.87,0.9
2026-01-01,Cuatro Cañadas - CEA-2 (GPRS),23.94,23.32,90.8,76.54,
2026-01-01,Cuatro Cañadas - Colonia Chihuahua (GPRS),23.7,23.42,92.0,74.49,
2026-01-01,Culta Challapata,13.5,3.0,,,17.9
2026-01-01,Desaguadero_M,6.92,6.0,80.2,63.67,
2026-01-01,Guajara-Mirim - Guayaramerín,,,,,2.8
2026-01-01,Guanay_H (GPRS),,,,,1.2
2026-01-01,Guayaramerin_M (GPRS),33.58,23.61,93.67,71.94,
2026-01-01,Huancane Corapata_M (GPRS),7.12,6.07,88.6,65.17,
2026-01-01,Huarisuyo (GPRS),6.49,5.8,93.2,60.41,
2026-01-01,Incapampa - Coroico_M (GPRS),30.31,16.06,99.79,72.2,
2026-01-01,Isla Suriqui_M (GPRS),8.22,7.83,78.78,73.38,
2026-01-01,Ixiamas S.(GPRS),23.3,23.2,86.8,73.7,
2026-01-01,Ixiamas_M (GPRS),31.96,22.01,94.37,68.71,
2026-01-01,Jesús de Machaca_M (GPRS),6.41,5.62,84.0,60.42,
2026-01-01,Laguna Colorada (GPRS),7.08,-0.61,37.96,16.22,
2026-01-01,Mecapaca_M (GPRS),23.57,12.57,85.52,49.65,
2026-01-01,Mizque - SDC (GPRS),16.59,14.36,93.2,54.56,
2026-01-01,Omereque - SDC (GPRS),24.22,20.86,90.2,83.4,
2026-01-01,Palos Blancos_M (GPRS),34.78,22.42,99.98,86.51,0.5
2026-01-01,Patacamaya Iniaf (GPRS),15.8,5.8,78.3,47.4,
2026-01-01,Pocona - SDC (GPRS),12.05,10.15,89.5,52.15,
2026-01-01,Pojo - SDC (GPRS),16.56,14.6,67.85,57.25,
2026-01-01,Porvenir_H (SAT),,,,,0.2
2026-01-01,Presa Misicuni (GPRS),9.62,6.72,82.4,62.22,
2026-01-01,Putucuni Calientes (GPRS),4.98,3.49,85.0,79.35,
2026-01-01,Quetenas (GPRS),6.93,1.97,28.78,16.95,
2026-01-01,Río Chilenas (GPRS),4.2,0.47,64.08,9.72,
2026-01-01,Sacacani_M (GPRS),7.35,5.52,87.7,58.25,
2026-01-01,Salinas Iniaf (GPRS),21.6,10.2,53.0,29.0,
2026-01-01,Salo_M (GPRS),22.12,9.5,71.82,38.86,
2026-01-01,San Antonio - Los Ángeles (GPRS),23.37,23.05,93.2,81.8,
2026-01-01,San Buenaventura_M (GPRS),34.02,24.72,97.52,68.54,
2026-01-01,San Jacinto_M (GPRS),17.4,16.24,86.1,64.65,
2026-01-01,San Juan de Yapacaní,,,,,0.6
2026-01-01,San Julian - Comunidad Los Angeles (GPRS),24.46,24.24,90.0,73.28,
2026-01-01,San Julian - Nucleo 32 (GPRS),24.78,24.5,94.5,77.13,
2026-01-01,San Pablo de Lipez (GPRS),6.1,4.12,63.15,43.45,
2026-01-01,San Pedro - Río Victoria (GPRS),23.64,23.37,88.7,82.0,
2026-01-01,San Pedro de Buena Vista (GPRS),15.04,13.41,80.3,61.09,
2026-01-01,San Pedro de Tiquina_M (GPRS),7.83,7.24,82.9,72.98,
2026-01-01,Sarco,,,,,0.3
2026-01-01,Sena_H (SAT),,,,,20.8
2026-01-01,Sucre SENAMHI,,,,,0.4
2026-01-01,Sultaca_M (GPRS),16.65,7.45,81.3,43.07,
2026-01-01,Sunjani (GPRS),8.02,4.33,75.56,60.72,
2026-01-01,Templo (GPRS),6.56,2.81,83.4,71.25,0.2
2026-01-01,Temporal - SDC (GPRS),12.58,10.84,58.62,9.15,
2026-01-01,Tiraque_M (GPRS),9.38,7.85,67.65,57.72,
2026-01-01,Toledo (GPRS),7.98,7.32,72.67,48.62,
2026-01-01,Toralapa Iniaf (GPRS),15.0,4.4,76.4,64.4,
2026-01-01,Totora Qhocha_M,7.31,5.34,79.59,69.32,
2026-01-01,Totora i_M (GPRS),24.62,10.56,64.49,39.6,
2026-01-01,Viacha_M (GPRS),7.41,5.32,81.9,64.02,
2026-01-01,Vila Vila - SDC (GPRS),14.81,13.39,67.11,49.06,
2026-01-01,Villa Rivero_M (GPRS),23.59,8.34,77.48,40.63,
2026-01-01,Viscachas Chirage (GPRS),7.88,5.99,83.9,67.94,0.2
2026-01-01,Vivero Chimboco - SDC (GPRS),12.14,9.74,77.46,47.91,
2026-01-01,Vivero Viloma - SDC (GPRS),14.47,11.88,52.92,1.33,
2026-01-02, Paniagua_M (GPRS),25.63,19.5,99.76,99.7,5.0
2026-01-02,4 Esquinas (GPRS),6.87,5.44,88.8,80.4,
2026-01-02,Aguadas (GPRS),6.76,5.39,90.5,76.48,2.4
2026-01-02,Aiquile (GPRS),14.33,13.3,88.9,66.86,
2026-01-02,Alto Peñas (GPRS),5.97,5.17,82.3,72.57,
2026-01-02,Anzaldo_M (GPRS),19.87,11.43,100.0,79.26,7.8
2026-01-02,Apolo_M (GPRS),25.26,17.06,97.08,68.79,
2026-01-02,Cabaña Forestal Oruro,15.6,4.7,95.0,90.0,15.0
2026-01-02,Camargo_M (GPRS),26.53,13.12,55.37,40.43,
2026-01-02,Caranavi_H (GPRS),,,,,8.2
2026-01-02,Carura_M - Guanay (GPRS),28.39,20.55,98.48,96.95,0.2
2026-01-02,Chacala Iniaf (GPRS),19.7,4.8,52.9,30.5,
2026-01-02,Chipaya - GPRS,21.8,4.8,51.0,19.0,
2026-01-02,Chua Cocani_M (GPRS),6.72,5.41,77.19,67.37,
2026-01-02,Coroico_H (GPRS),,,,,34.0
2026-01-02,Cotagaita (GPRS),17.26,14.6,62.19,38.61,
2026-01-02,Covendo_M (GPRS),29.17,21.42,99.89,96.59,1.3
2026-01-02,Cuatro Cañadas - CEA-2 (GPRS),25.05,24.46,87.9,75.82,
2026-01-02,Cuatro Cañadas - Colonia Chihuahua (GPRS),25.31,24.33,87.8,76.24,
2026-01-02,Culta Challapata,15.0,1.5,,,1.5
2026-01-02,Desaguadero_M,8.35,5.67,65.15,33.89,
2026-01-02,Guanay_H (GPRS),,,,,4.2
2026-01-02,Guayaramerin_M (GPRS),33.34,23.3,99.14,68.89,
2026-01-02,Huancane Corapata_M (GPRS),5.94,4.78,98.6,64.6,
2026-01-02,Huarisuyo (GPRS),5.34,4.37,97.5,62.01,
2026-01-02,Incapampa - Coroico_M (GPRS),25.38,14.58,99.81,99.74,
2026-01-02,Isla Suriqui_M (GPRS),7.97,6.52,75.66,57.43,
2026-01-02,Ixiamas S.(GPRS),32.2,23.3,93.0,77.9,
2026-01-02,Ixiamas_M (GPRS),30.39,22.25,89.45,66.16,
2026-01-02,Jesús de Machaca_M (GPRS),5.29,3.14,86.4,49.59,
2026-01-02,La Asunta_H (GPRS),,,,,4.7
2026-01-02,Laguna Colorada (GPRS),2.63,-1.77,35.58,23.73,
2026-01-02,Mecapaca_M (GPRS),16.65,10.92,100.0,81.51,2.3
2026-01-02,Mizque - SDC (GPRS),16.28,14.48,94.8,66.91,
2026-01-02,Omereque - SDC (GPRS),21.52,20.23,88.8,83.9,
2026-01-02,Palos Blancos_M (GPRS),33.41,22.1,100.0,90.81,4.4
2026-01-02,Patacamaya Iniaf (GPRS),14.4,3.4,93.4,63.1,
2026-01-02,Pico de loro_H- SDC (GPRS),,,,,5.0
2026-01-02,Pocona - SDC (GPRS),13.16,11.16,97.9,70.39,
2026-01-02,Pojo - SDC (GPRS),17.48,15.25,78.22,55.36,
2026-01-02,Poroma (CHQ),,,,,16.3
2026-01-02,Porvenir_H (SAT),,,,,0.2
2026-01-02,Presa Misicuni (GPRS),8.43,6.66,94.4,82.1,3.3
2026-01-02,Puente Abra_H- SDC (GPRS),,,,,0.1
2026-01-02,Putucuni Calientes (GPRS),5.16,3.86,98.4,85.5,0.7
2026-01-02,Quetenas (GPRS),6.11,0.63,34.94,20.99,
2026-01-02,Río Chilenas (GPRS),3.24,-0.52,86.3,14.29,
2026-01-02,Sacacani_M (GPRS),6.11,3.81,97.1,63.2,
2026-01-02,Salinas Iniaf (GPRS),20.5,5.4,44.8,27.9,
2026-01-02,Salo_M (GPRS),23.69,5.63,95.99,24.11,10.4
2026-01-02,San Antonio - Los Ángeles (GPRS),25.13,24.44,90.6,82.3,
2026-01-02,San Buenaventura_M (GPRS),30.36,23.66,99.9,80.32,87.6
2026-01-02,San Jacinto_M (GPRS),17.93,16.65,83.7,62.76,0.6
2026-01-02,San Juan de Yapacaní,,,,,3.6
2026-01-02,San Julian - Comunidad Los Angeles (GPRS),26.35,24.89,86.7,70.0,
2026-01-02,San Julian - Nucleo 32 (GPRS),26.67,25.62,87.5,74.33,
2026-01-02,San Pablo de Lipez (GPRS),9.03,6.14,57.81,41.93,
2026-01-02,San Pedro - Río Victoria (GPRS),25.78,24.15,87.6,78.76,
2026-01-02,San Pedro de Buena Vista (GPRS),13.91,11.9,88.5,65.16,
2026-01-02,San Pedro de Tiquina_M (GPRS),8.22,7.11,76.58,63.98,
2026-01-02,Sarco,,,,,0.2
2026-01-02,Sucre SENAMHI,,,,,4.0
2026-01-02,Sultaca_M (GPRS),16.21,5.78,75.28,56.69,
2026-01-02,Sunjani (GPRS),7.39,5.6,95.2,85.0,2.6
2026-01-02,Templo (GPRS),5.53,3.87,97.3,90.7,4.6
2026-01-02,Temporal - SDC (GPRS),14.46,12.78,93.9,85.6,
2026-01-02,Tiraque_M (GPRS),11.34,9.15,89.4,61.78,4.1
2026-01-02,Toledo (GPRS),7.13,4.75,87.7,52.21,
2026-01-02,Toralapa Iniaf (GPRS),15.0,6.0,98.6,78.9,1.8
2026-01-02,Totora Qhocha_M,8.23,6.39,98.0,87.1,3.4
2026-01-02,Totora i_M (GPRS),25.81,8.26,51.25,35.84,
2026-01-02,Viacha_M (GPRS),5.97,2.3,99.2,71.11,
