estacion,fecha,fecha_diff,humedad_relativa,precipitacion,temperatura,vientos
Anzaldo,2025-03-31 06:00:00,2,70.0,0.0,12.0,3.0
Anzaldo,2025-03-31 06:00:00,5,60.0,0.0,15.0,3.0
Anzaldo,2025-03-31 06:00:00,8,50.0,2.8,21.0,3.0
Anzaldo,2025-03-31 06:00:00,11,66.0,2.8,21.0,2.0
Anzaldo,2025-03-31 06:00:00,14,82.0,1.5,13.0,2.0
Anzaldo,2025-03-31 06:00:00,17,86.0,0.7,12.0,1.0
Anzaldo,2025-03-31 06:00:00,20,90.0,2.5,9.0,1.0
Anzaldo,2025-03-31 06:00:00,23,90.0,2.0,9.0,1.0
Anzaldo,2025-03-31 06:00:00,26,86.0,2.0,12.0,1.0
Anzaldo,2025-03-31 06:00:00,29,85.0,2.0,13.0,2.0
Anzaldo,2025-03-31 06:00:00,32,84.0,1.1,20.0,2.0
Anzaldo,2025-03-31 06:00:00,35,88.0,1.1,20.0,2.0
Anzaldo,2025-03-31 06:00:00,38,92.0,2.0,11.0,1.0
Anzaldo,2025-03-31 06:00:00,41,90.0,2.0,11.0,2.0
Anzaldo,2025-03-31 06:00:00,44,88.0,0.0,8.0,3.0
Anzaldo,2025-03-31 06:00:00,47,79.0,0.0,8.0,3.0
Anzaldo,2025-03-31 06:00:00,50,71.0,0.0,11.0,3.0
Anzaldo,2025-03-31 06:00:00,53,61.0,0.0,14.0,3.0
Anzaldo,2025-03-31 06:00:00,56,52.0,0.0,18.0,3.0
Anzaldo,2025-03-31 06:00:00,59,65.0,0.0,18.0,2.0
Anzaldo,2025-03-31 06:00:00,62,79.0,1.5,12.0,2.0
Anzaldo,2025-03-31 06:00:00,65,81.0,1.5,11.0,2.0
Anzaldo,2025-03-31 06:00:00,68,82.0,0.0,9.0,2.0
Anzaldo,2025-03-31 06:00:00,71,81.0,0.0,9.0,2.0
Anzaldo,2025-03-31 06:00:00,74,74.0,0.0,12.0,2.0
Anzaldo,2025-03-31 06:00:00,77,63.0,0.0,15.0,2.0
Anzaldo,2025-03-31 06:00:00,80,52.0,0.0,19.0,2.0
Anzaldo,2025-03-31 06:00:00,83,67.0,0.0,19.0,2.0
Anzaldo,2025-03-31 06:00:00,86,82.0,2.5,12.0,2.0
Anzaldo,2025-03-31 06:00:00,89,88.0,1.7,11.0,2.0
Anzaldo,2025-03-31 06:00:00,92,94.0,0.0,9.0,1.0
Anzaldo,2025-03-31 12:00:00,86,,0.9,,
Anzaldo,2025-03-31 12:00:00,89,90.0,2.1,10.0,1.0
Anzaldo,2025-03-31 12:00:00,92,90.0,2.7,10.0,1.0
Anzaldo,2025-03-31 12:00:00,95,87.0,1.8,10.0,1.0
Anzaldo,2025-03-31 12:00:00,98,83.0,0.9,10.0,2.0
Anzaldo,2025-03-31 12:00:00,101,88.0,2.6,9.0,2.0
Anzaldo,2025-03-31 12:00:00,104,92.0,0.0,8.0,3.0
Anzaldo,2025-03-31 12:00:00,107,92.0,0.0,8.0,2.0
Anzaldo,2025-03-31 12:00:00,110,92.0,0.0,8.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,2,96.0,1.4,20.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,5,84.0,1.5,20.0,2.0
Apolo Chupiluzani,2025-03-31 06:00:00,8,72.0,0.8,26.0,2.0
Apolo Chupiluzani,2025-03-31 06:00:00,11,85.0,0.8,26.0,2.0
Apolo Chupiluzani,2025-03-31 06:00:00,14,97.0,0.6,20.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,17,98.0,1.9,17.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,20,99.0,2.1,14.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,23,99.0,2.3,14.0,0.0
Apolo Chupiluzani,2025-03-31 06:00:00,26,98.0,3.5,17.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,29,97.0,2.3,18.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,32,95.0,0.8,21.0,2.0
Apolo Chupiluzani,2025-03-31 06:00:00,35,97.0,0.7,21.0,2.0
Apolo Chupiluzani,2025-03-31 06:00:00,38,99.0,2.3,17.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,41,99.0,2.3,16.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,44,98.0,0.0,13.0,0.0
Apolo Chupiluzani,2025-03-31 06:00:00,47,98.0,0.0,13.0,0.0
Apolo Chupiluzani,2025-03-31 06:00:00,50,97.0,0.0,15.0,0.0
Apolo Chupiluzani,2025-03-31 06:00:00,53,87.0,0.0,18.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,56,78.0,0.0,21.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,59,88.0,0.0,21.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,62,98.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,65,98.0,0.0,16.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,68,99.0,0.0,14.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,71,97.0,0.0,14.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,74,94.0,0.0,17.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,77,82.0,0.0,20.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,80,69.0,0.0,23.0,2.0
Apolo Chupiluzani,2025-03-31 06:00:00,83,83.0,0.0,23.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,86,96.0,2.9,17.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,89,97.0,3.1,17.0,1.0
Apolo Chupiluzani,2025-03-31 06:00:00,92,98.0,0.0,14.0,1.0
Apolo Chupiluzani,2025-03-31 12:00:00,86,,1.2,,
Apolo Chupiluzani,2025-03-31 12:00:00,89,97.0,2.0,17.0,1.0
Apolo Chupiluzani,2025-03-31 12:00:00,92,96.0,1.7,17.0,1.0
